Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-1B,IS 100,IS 100_LEC_IS-1B,Friday,09:30,10:30,LAB-004,TBA
IS-1B,IS 100,IS 100_LEC_IS-1B,Tuesday,09:00,10:00,LEC-002,TBA
IS-1B,IS 100,IS 100_LAB_IS-1B,Thursday,09:00,12:00,LAB-001,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Wednesday,14:30,15:30,LEC-006,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Tuesday,16:00,17:00,LAB-005,TBA
IS-1B,IS 101,IS 101_LEC_IS-1B,Thursday,08:00,09:00,LEC-008,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Friday,13:00,14:00,LEC-007,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Monday,15:00,16:00,LEC-002,TBA
IS-1B,GEC 1,GEC 1_LEC_IS-1B,Tuesday,13:30,14:30,LEC-001,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Wednesday,10:00,11:00,LEC-009,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Thursday,13:00,14:00,LEC-008,TBA
IS-1B,GEC 2,GEC 2_LEC_IS-1B,Friday,10:30,11:30,LEC-006,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Tuesday,11:30,13:30,LEC-006,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Tuesday,08:00,09:00,LAB-005,TBA
IS-1B,GEC 3,GEC 3_LEC_IS-1B,Monday,11:00,12:00,LEC-007,TBA
IS-1B,PathFit 1,PathFit 1_LEC_IS-1B,Friday,08:00,09:00,LAB-002,TBA
IS-1B,PathFit 1,PathFit 1_LEC_IS-1B,Thursday,14:30,15:30,LAB-003,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Tuesday,14:30,15:30,LEC-001,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Monday,09:30,10:30,LEC-004,TBA
IS-1B,NSTP 1,NSTP 1_LEC_IS-1B,Wednesday,13:00,14:00,LAB-005,TBA
