Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-3A,IS 301,IS 301_LEC_IS-3A,Monday,11:00,12:00,LEC-009,TBA
IS-3A,IS 301,IS 301_LEC_IS-3A,Wednesday,10:30,11:30,LEC-001,TBA
IS-3A,IS 301,IS 301_LAB_IS-3A,Monday,08:00,11:00,LAB-002,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Wednesday,09:00,10:00,LEC-004,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Friday,09:30,10:30,LEC-005,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Friday,14:00,15:00,LEC-008,TBA
IS-3A,IS 303,IS 303_LEC_IS-3A,Wednesday,11:30,13:30,LEC-009,TBA
IS-3A,IS 303,IS 303_LEC_IS-3A,Monday,16:00,17:00,LEC-004,TBA
IS-3A,IS 303,IS 303_LAB_IS-3A,Tuesday,14:00,17:00,LAB-009,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Wednesday,16:00,17:00,LEC-008,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Thursday,09:00,10:00,LEC-006,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Monday,15:00,16:00,LEC-001,TBA
IS-3A,ISELECT 001,ISELECT 001_LEC_IS-3A,Friday,11:30,13:30,LEC-004,TBA
IS-3A,ISELECT 001,ISELECT 001_LEC_IS-3A,Thursday,08:00,09:00,LEC-005,TBA
IS-3A,ISELECT 001,ISELECT 001_LAB_IS-3A,Thursday,14:00,17:00,LAB-002,TBA
