Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-2A,IT 105,IT 105_LEC_IT-2A,Friday,15:00,16:00,LAB-008,TBA
IT-2A,IT 105,IT 105_LEC_IT-2A,Tuesday,11:30,13:30,LAB-003,TBA
IT-2A,IT 105,IT 105_LAB_IT-2A,Thursday,09:00,12:00,LAB-003,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Friday,14:00,15:00,LEC-005,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Friday,11:00,12:00,LAB-007,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Thursday,08:00,09:00,LAB-003,TBA
IT-2A,IT 107,IT 107_LEC_IT-2A,Wednesday,10:00,11:00,LAB-006,TBA
IT-2A,IT 107,IT 107_LEC_IT-2A,Monday,16:00,17:00,LEC-003,TBA
IT-2A,IT 107,IT 107_LAB_IT-2A,Tuesday,08:00,11:00,LAB-004,TBA
IT-2A,IT 108,IT 108_LEC_IT-2A,Wednesday,08:00,09:00,LAB-004,TBA
IT-2A,IT 108,IT 108_LEC_IT-2A,Thursday,14:30,15:30,LEC-009,TBA
IT-2A,IT 108,IT 108_LAB_IT-2A,Wednesday,14:00,17:00,LAB-005,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Friday,09:00,10:00,LAB-003,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Friday,08:00,09:00,LEC-005,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Monday,10:00,11:00,LEC-003,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Friday,10:00,11:00,LEC-007,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Tuesday,15:00,16:00,LEC-007,TBA
IT-2A,GE Elec 2,GE Elec 2_LEC_IT-2A,Thursday,13:30,14:30,LEC-007,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Tuesday,13:30,14:30,LEC-005,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Wednesday,11:00,12:00,LEC-010,TBA
IT-2A,GE Elec 3,GE Elec 3_LEC_IT-2A,Monday,11:30,13:30,LAB-008,TBA
IT-2A,PathFit 3,PathFit 3_LEC_IT-2A,Monday,08:00,09:00,LEC-004,TBA
IT-2A,PathFit 3,PathFit 3_LEC_IT-2A,Monday,14:00,15:00,LAB-007,TBA
