Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-3C,IT 114,IT 114_LEC_IT-3C,Wednesday,15:00,16:00,LEC-007,TBA
IT-3C,IT 114,IT 114_LEC_IT-3C,Thursday,13:30,14:30,LAB-004,TBA
IT-3C,IT 114,IT 114_LAB_IT-3C,Friday,08:00,11:00,LAB-008,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Friday,11:00,12:00,LAB-001,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Monday,14:30,15:30,LEC-005,TBA
IT-3C,IT 115,IT 115_LAB_IT-3C,Tuesday,09:00,12:00,LAB-006,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Tuesday,13:00,14:00,LAB-002,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Monday,16:00,17:00,LEC-005,TBA
IT-3C,IT 116,IT 116_LAB_IT-3C,Thursday,08:00,11:00,LAB-002,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Friday,14:30,15:30,LEC-003,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Tuesday,16:00,17:00,LAB-004,TBA
IT-3C,IT 117,IT 117_LAB_IT-3C,Wednesday,09:00,12:00,LAB-009,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Friday,13:00,14:00,LEC-001,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Thursday,14:30,15:30,LEC-004,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Wednesday,14:00,15:00,LAB-002,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Thursday,11:30,13:30,LAB-007,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Wednesday,13:00,14:00,LEC-010,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Monday,13:00,14:00,LAB-007,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Wednesday,08:00,09:00,LEC-005,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Tuesday,14:30,15:30,LAB-008,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Tuesday,08:00,09:00,LEC-009,TBA
