Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 100,Fundamentals of Information Systems,14:00-16:00,W,LAB-006,2,1,3,5,4.25,TBA,IS-1B
IS 101,Business Process Management,10:00-11:00,M,LEC-009,3,0,3,3,3.0,TBA,IS-1B
IS 101,Business Process Management,11:00-12:00,W,LEC-007,3,0,3,3,3.0,TBA,IS-1B
IS 101,Business Process Management,13:00-14:00,M,LEC-005,3,0,3,3,3.0,TBA,IS-1B
GEC 1,Understanding the Self,10:00-11:00,F,LEC-001,3,0,3,3,3.0,TBA,IS-1B
GEC 1,Understanding the Self,09:00-10:00,F,LEC-006,3,0,3,3,3.0,TBA,IS-1B
GEC 1,Understanding the Self,15:00-16:00,F,LEC-002,3,0,3,3,3.0,TBA,IS-1B
GEC 2,Readings in Philippine History,09:00-10:00,M,LEC-005,3,0,3,3,3.0,TBA,IS-1B
GEC 2,Readings in Philippine History,08:00-09:00,M,LEC-001,3,0,3,3,3.0,TBA,IS-1B
GEC 2,Readings in Philippine History,13:00-14:00,F,LEC-010,3,0,3,3,3.0,TBA,IS-1B
GEC 3,Mathematics in the Modern World,14:00-15:00,F,LEC-001,3,0,3,3,3.0,TBA,IS-1B
GEC 3,Mathematics in the Modern World,08:00-09:00,W,LEC-007,3,0,3,3,3.0,TBA,IS-1B
GEC 3,Mathematics in the Modern World,11:00-12:00,F,LEC-010,3,0,3,3,3.0,TBA,IS-1B
PathFit 1,Movement of Competency Training,09:00-11:00,W,LEC-005,2,0,2,2,2.0,TBA,IS-1B
