Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 201,Enterprise Architecture,09:00-11:00,W,LAB-004,2,1,3,5,4.25,TBA,IS-2B
IS 202,Data and Information Management,08:00-10:00,T,LAB-001,2,1,3,5,4.25,TBA,IS-2B
IS 203,Financial Management,10:00-11:00,F,LEC-007,3,0,3,3,3.0,TBA,IS-2B
IS 203,Financial Management,09:00-10:00,F,LEC-001,3,0,3,3,3.0,TBA,IS-2B
IS 203,Financial Management,11:00-12:00,F,LEC-011,3,0,3,3,3.0,TBA,IS-2B
GEC 6,"Science, Technology and Society",11:00-12:00,W,LEC-010,3,0,3,3,3.0,TBA,IS-2B
GEC 6,"Science, Technology and Society",08:00-09:00,W,LEC-008,3,0,3,3,3.0,TBA,IS-2B
GEC 6,"Science, Technology and Society",08:00-09:00,F,LEC-011,3,0,3,3,3.0,TBA,IS-2B
GE Elec 2,Etika,14:00-15:00,F,LEC-002,3,0,3,3,3.0,TBA,IS-2B
GE Elec 2,Etika,13:00-14:00,W,LEC-001,3,0,3,3,3.0,TBA,IS-2B
GE Elec 2,Etika,13:00-14:00,F,LEC-005,3,0,3,3,3.0,TBA,IS-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",14:00-16:00,M,LEC-010,2,0,2,2,2.0,TBA,IS-2B
