Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 105,Applications Development and Emerging Technologies,15:00-17:00,TH,LAB-004,2,1,3,5,4.25,TBA,IT-2B
IT 106,Information Management,10:00-11:00,W,LEC-006,3,0,3,3,3.0,TBA,IT-2B
IT 106,Information Management,16:00-17:00,M,LEC-001,3,0,3,3,3.0,TBA,IT-2B
IT 106,Information Management,10:00-11:00,M,LEC-008,3,0,3,3,3.0,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,14:00-16:00,W,LAB-001,2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,10:00-12:00,TH,LAB-002,2,1,3,5,4.25,TBA,IT-2B
GEC 6,"Science, Technology and Society",10:00-11:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society",11:00-12:00,W,LEC-006,3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society",16:00-17:00,W,LEC-006,3,0,3,3,3.0,TBA,IT-2B
GE Elec 2,Etika,09:00-10:00,W,LEC-004,3,0,3,3,3.0,TBA,IT-2B
GE Elec 2,Etika,14:00-15:00,F,LEC-011,3,0,3,3,3.0,TBA,IT-2B
GE Elec 2,Etika,13:00-14:00,W,LEC-011,3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,11:00-12:00,M,LEC-010,3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,15:00-16:00,M,LEC-006,3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,08:00-09:00,W,LEC-005,3,0,3,3,3.0,TBA,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",14:00-16:00,T,LEC-010,2,0,2,2,2.0,TBA,IT-2B
