Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 100,Fundamentals of Information Systems,13:00-15:00,TH,NB-101,2,1,3,5,4.25,TBA,IS-1A
IS 101,Business Process Management,09:30-11:00,T,AB-201,3,0,3,3,3.0,TBA,IS-1A
IS 101,Business Process Management,09:30-11:00,TH,AB-201,3,0,3,3,3.0,TBA,IS-1A
GEC 1,Understanding the Self,16:00-17:00,W,NB-303,3,0,3,3,3.0,TBA,IS-1A
GEC 1,Understanding the Self,16:00-17:00,M,NB-303,3,0,3,3,3.0,TBA,IS-1A
GEC 1,Understanding the Self,16:00-17:00,F,NB-303,3,0,3,3,3.0,TBA,IS-1A
GEC 2,Readings in Philippine History,09:00-10:00,W,EB-L1,3,0,3,3,3.0,TBA,IS-1A
GEC 2,Readings in Philippine History,09:00-10:00,F,EB-L1,3,0,3,3,3.0,TBA,IS-1A
GEC 2,Readings in Philippine History,09:00-10:00,M,EB-L1,3,0,3,3,3.0,TBA,IS-1A
GEC 3,Mathematics in the Modern World,15:00-16:00,F,NB-301,3,0,3,3,3.0,TBA,IS-1A
GEC 3,Mathematics in the Modern World,15:00-16:00,W,NB-301,3,0,3,3,3.0,TBA,IS-1A
GEC 3,Mathematics in the Modern World,15:00-16:00,M,NB-301,3,0,3,3,3.0,TBA,IS-1A
PathFit 1,Movement of Competency Training,13:00-15:00,M,NB-303,2,0,2,2,2.0,TBA,IS-1A
