Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 201,Enterprise Architecture,14:00-15:00,M,NB-201,2,1,3,5,4.25,TBA,IS-2A
IS 201,Enterprise Architecture,14:00-15:00,T,NB-201,2,1,3,5,4.25,TBA,IS-2A
IS 202,Data and Information Management,09:00-10:00,T,NB-102,2,1,3,5,4.25,TBA,IS-2A
IS 202,Data and Information Management,09:00-10:00,TH,NB-102,2,1,3,5,4.25,TBA,IS-2A
IS 203,Financial Management,13:00-14:30,TH,NB-303,3,0,3,3,3.0,TBA,IS-2A
IS 203,Financial Management,13:00-14:30,F,NB-303,3,0,3,3,3.0,TBA,IS-2A
GEC 6,"Science, Technology and Society",16:00-17:00,W,EB-L1,3,0,3,3,3.0,TBA,IS-2A
GEC 6,"Science, Technology and Society",16:00-17:00,M,EB-L1,3,0,3,3,3.0,TBA,IS-2A
GEC 6,"Science, Technology and Society",16:00-17:00,F,EB-L1,3,0,3,3,3.0,TBA,IS-2A
GE Elec 2,Etika,14:30-16:00,TH,AB-201,3,0,3,3,3.0,TBA,IS-2A
GE Elec 2,Etika,14:30-16:00,W,AB-201,3,0,3,3,3.0,TBA,IS-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",10:00-12:00,T,NB-302,2,0,2,2,2.0,TBA,IS-2A
