Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 100,Introduction to Computing,08:00-09:00,F,NB-101,2,1,3,5,4.25,TBA,IT-1A
IT 100,Introduction to Computing,08:00-09:00,M,NB-101,2,1,3,5,4.25,TBA,IT-1A
IT 101,Computer Programming 1,13:00-14:00,F,NB-101,2,1,3,5,4.25,TBA,IT-1A
IT 101,Computer Programming 1,13:00-14:00,M,NB-101,2,1,3,5,4.25,TBA,IT-1A
GEC 1,Understanding the Self,16:00-17:00,F,NB-302,3,0,3,3,3.0,TBA,IT-1A
GEC 1,Understanding the Self,16:00-17:00,M,NB-302,3,0,3,3,3.0,TBA,IT-1A
GEC 1,Understanding the Self,16:00-17:00,W,NB-302,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,09:00-10:00,M,NB-301,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,09:00-10:00,F,NB-301,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,09:00-10:00,W,NB-301,3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,08:00-09:30,TH,NB-301,3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,08:00-09:30,T,NB-301,3,0,3,3,3.0,TBA,IT-1A
PathFit 1,Movement of Competency Training,15:00-17:00,TH,NB-301,2,0,2,2,2.0,TBA,IT-1A
