Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 100,Introduction to Computing,16:00-17:00,F,OB-L1,2,1,3,5,4.25,TBA,IT-1C
IT 100,Introduction to Computing,16:00-17:00,M,OB-L1,2,1,3,5,4.25,TBA,IT-1C
IT 101,Computer Programming 1,08:00-09:30,M,OB-L1,2,1,3,5,4.25,TBA,IT-1C
IT 101,Computer Programming 1,08:00-09:30,TH,OB-L1,2,1,3,5,4.25,TBA,IT-1C
GEC 1,Understanding the Self,15:00-16:00,W,NB-303,3,0,3,3,3.0,TBA,IT-1C
GEC 1,Understanding the Self,15:00-16:00,F,NB-303,3,0,3,3,3.0,TBA,IT-1C
GEC 1,Understanding the Self,15:00-16:00,M,NB-303,3,0,3,3,3.0,TBA,IT-1C
GEC 2,Readings in Philippine History,13:00-14:00,W,LIB-CL,3,0,3,3,3.0,TBA,IT-1C
GEC 2,Readings in Philippine History,13:00-14:00,F,LIB-CL,3,0,3,3,3.0,TBA,IT-1C
GEC 2,Readings in Philippine History,13:00-14:00,M,LIB-CL,3,0,3,3,3.0,TBA,IT-1C
GEC 3,Mathematics in the Modern World,08:00-09:30,W,NB-302,3,0,3,3,3.0,TBA,IT-1C
GEC 3,Mathematics in the Modern World,08:00-09:30,F,NB-302,3,0,3,3,3.0,TBA,IT-1C
PathFit 1,Movement of Competency Training,10:00-12:00,TH,NB-301,2,0,2,2,2.0,TBA,IT-1C
