Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-2B,IS 201,IS 201_LEC_IS-2B,Monday,15:00,16:00,LEC-005,TBA
IS-2B,IS 201,IS 201_LEC_IS-2B,Wednesday,10:00,11:00,LEC-005,TBA
IS-2B,IS 201,IS 201_LAB_IS-2B,Tuesday,08:00,11:00,LAB-005,TBA
IS-2B,IS 202,IS 202_LEC_IS-2B,Monday,10:30,11:30,LAB-002,TBA
IS-2B,IS 202,IS 202_LEC_IS-2B,Wednesday,11:00,12:00,LEC-007,TBA
IS-2B,IS 202,IS 202_LAB_IS-2B,Friday,08:00,11:00,LAB-004,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Monday,09:30,10:30,LAB-006,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Friday,14:00,15:00,LEC-009,TBA
IS-2B,IS 203,IS 203_LEC_IS-2B,Wednesday,08:30,09:30,LEC-010,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Tuesday,11:30,13:30,LAB-006,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Friday,16:00,17:00,LAB-004,TBA
IS-2B,GEC 6,GEC 6_LEC_IS-2B,Friday,11:30,13:30,LEC-006,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Thursday,16:00,17:00,LEC-008,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Thursday,08:00,09:00,LEC-001,TBA
IS-2B,GE Elec 2,GE Elec 2_LEC_IS-2B,Thursday,13:00,14:00,LEC-009,TBA
IS-2B,PathFit 3,PathFit 3_LEC_IS-2B,Thursday,09:00,10:00,LAB-002,TBA
IS-2B,PathFit 3,PathFit 3_LEC_IS-2B,Tuesday,15:00,16:00,LAB-005,TBA
