Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IS-3A,IS 301,IS 301_LEC_IS-3A,Tuesday,14:30,15:30,LEC-006,TBA
IS-3A,IS 301,IS 301_LEC_IS-3A,Wednesday,11:00,12:00,LEC-001,TBA
IS-3A,IS 301,IS 301_LAB_IS-3A,Thursday,08:00,11:00,LAB-005,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Monday,11:30,13:30,LEC-001,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Monday,10:30,11:30,LAB-005,TBA
IS-3A,IS 302,IS 302_LEC_IS-3A,Friday,15:00,16:00,LAB-005,TBA
IS-3A,IS 303,IS 303_LEC_IS-3A,Thursday,13:00,14:00,LAB-005,TBA
IS-3A,IS 303,IS 303_LEC_IS-3A,Tuesday,13:00,14:00,LEC-003,TBA
IS-3A,IS 303,IS 303_LAB_IS-3A,Tuesday,08:00,11:00,LAB-001,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Friday,11:00,12:00,LEC-003,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Monday,08:00,09:00,LAB-001,TBA
IS-3A,GEC 9,GEC 9_LEC_IS-3A,Thursday,15:00,16:00,LEC-001,TBA
IS-3A,ISELECT 001,ISELECT 001_LEC_IS-3A,Thursday,11:00,12:00,LAB-003,TBA
IS-3A,ISELECT 001,ISELECT 001_LEC_IS-3A,Thursday,14:00,15:00,LEC-010,TBA
IS-3A,ISELECT 001,ISELECT 001_LAB_IS-3A,Wednesday,14:00,17:00,LAB-004,TBA
