Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-3C,IT 114,IT 114_LEC_IT-3C,Monday,10:00,11:00,LEC-008,TBA
IT-3C,IT 114,IT 114_LEC_IT-3C,Monday,09:00,10:00,LEC-004,TBA
IT-3C,IT 114,IT 114_LAB_IT-3C,Thursday,09:00,12:00,LAB-004,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Wednesday,14:30,15:30,LEC-002,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Friday,11:00,12:00,LAB-003,TBA
IT-3C,IT 115,IT 115_LAB_IT-3C,Friday,13:00,16:00,LAB-004,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Monday,13:30,14:30,LEC-011,TBA
IT-3C,IT 116,IT 116_LEC_IT-3C,Monday,08:00,09:00,LEC-010,TBA
IT-3C,IT 116,IT 116_LAB_IT-3C,Tuesday,08:00,11:00,LAB-006,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Monday,11:00,12:00,LAB-006,TBA
IT-3C,IT 117,IT 117_LEC_IT-3C,Friday,08:30,09:30,LEC-002,TBA
IT-3C,IT 117,IT 117_LAB_IT-3C,Thursday,13:30,16:30,LAB-006,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Wednesday,10:30,11:30,LEC-008,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Tuesday,15:30,16:30,LEC-002,TBA
IT-3C,IT 118,IT 118_LEC_IT-3C,Wednesday,09:30,10:30,LEC-010,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Wednesday,08:00,09:00,LEC-001,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Tuesday,11:00,12:00,LEC-002,TBA
IT-3C,IT 119,IT 119_LEC_IT-3C,Tuesday,14:30,15:30,LEC-002,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Monday,15:30,16:30,LEC-009,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Tuesday,13:30,14:30,LEC-005,TBA
IT-3C,GEC 9,GEC 9_LEC_IT-3C,Wednesday,16:00,17:00,LEC-003,TBA
