code,name,program,year,semester,lec_hours,lab_hours,room_category
IT 100,Introduction to Computing,IT,1,1,2,1,lab
IT 101,Computer Programming 1,IT,1,1,2,1,lab
GEC 1,Understanding the Self,IT,1,1,3,0,non-lab
GEC 2,Readings in Philippine History,IT,1,1,3,0,non-lab
GEC 3,Mathematics in the Modern World,IT,1,1,3,0,non-lab
PathFit 1,Movement of Competency Training,IT,1,1,2,0,non-lab
NSTP 1,CWTS/LTS/ROTC 1,IT,1,1,3,0,non-lab
IT 102,Computer Programming 2,IT,1,2,2,1,lab
IT 103,Data Structures and Algorithms,IT,1,2,2,1,lab
IT 104,Discrete Mathematics,IT,1,2,3,0,non-lab
GEC 4,Purposive Communication,IT,1,2,3,0,non-lab
GEC 5,Art Appreciation,IT,1,2,3,0,non-lab
GE Elec 1,Environmental Science,IT,1,2,3,0,non-lab
PathFit 2,Exercise-based Fitness Activities,IT,1,2,2,0,non-lab
NSTP 2,CWTS/LTS/ROTC 2,IT,1,2,3,0,non-lab
IT 105,Applications Development and Emerging Technologies,IT,2,1,2,1,lab
IT 106,Information Management,IT,2,1,3,0,non-lab
IT 107,Introduction to Human Computer Interaction,IT,2,1,2,1,lab
IT 108,Operating Systems,IT,2,1,2,1,lab
GEC 6,"Science, Technology and Society",IT,2,1,3,0,non-lab
GE Elec 2,Etika,IT,2,1,3,0,non-lab
GE Elec 3,The Entrepreneurial Mind,IT,2,1,3,0,non-lab
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,1,2,0,non-lab
IT 109,Fundamentals of Database Systems,IT,2,2,2,1,lab
IT 110,Computer Architecture and Robotics,IT,2,2,2,1,lab
IT 111,Integrative Programming and Technologies 1,IT,2,2,2,1,lab
IT 112,Mobile Applications,IT,2,2,2,1,lab
IT 113,Information Assurance and Security 1,IT,2,2,3,0,non-lab
GEC 7,Contemporary World,IT,2,2,3,0,non-lab
GE Elec 4,Reading Visual Art,IT,2,2,3,0,non-lab
PathFit 4,"Menu of Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,2,2,0,non-lab
IT 114,Quantitative Methods (Modeling and Simulation),IT,3,1,2,1,lab
IT 115,Networking 1,IT,3,1,2,1,lab
IT 116,Systems Analysis and Design,IT,3,1,2,1,lab
IT 117,Systems Administration and Maintenance,IT,3,1,2,1,lab
IT 118,Internet of Things,IT,3,1,3,0,non-lab
IT 119,Data Scalability and Analytics,IT,3,1,3,0,non-lab
GEC 9,Ang Buhay at mga Akda ni Rizal,IT,3,1,3,0,non-lab
IT 120,Networking 2,IT,3,2,2,1,lab
IT 121,Capstone Project and Research 1,IT,3,2,2,1,lab
IT 122,Systems Integration and Architecture,IT,3,2,3,0,non-lab
IT 123,Information Assurance and Security 2,IT,3,2,3,0,non-lab
ITELECT 001,IT Elective 1*,IT,3,2,3,0,non-lab
ITELECT 002,IT Elective 2*,IT,3,2,2,1,lab
IT 124,Social and Professional Issues in Computing,IT,4,1,3,0,non-lab
IT 125,Capstone Project and Research 2,IT,4,1,2,1,lab
IT 126,Cyber Security Principle,IT,4,1,3,0,non-lab
IT 127,Global Professional Practice,IT,4,1,3,0,non-lab
ITELECT 003,IT Elective 3*,IT,4,1,2,1,lab
ITELECT 004,IT Elective 4*,IT,4,1,3,0,non-lab
IT 128,Practicum for Information Technology,IT,4,2,6,486,lab
