code,name,program,year,lec_hours,lab_hours,room_category
IT100,Introduction to Computing,IT,1,2,1,lab
IT101,Computer Programming 1,IT,1,2,1,lab
IT102,Computer Programming 2,IT,1,2,1,lab
IT103,Data Structures and Algorithms,IT,1,2,1,lab
IT104,Discrete Mathematics,IT,1,3,0,non-lab
IT105,Applications Development and Emerging Technologies,IT,2,2,1,lab
IT106,Information Management,IT,2,3,0,non-lab
IT107,Introduction to Human Computer Interaction,IT,2,2,1,lab
IT108,Operating Systems,IT,2,2,0,non-lab
IT109,Fundamentals of Database Systems,IT,2,2,1,lab
IT110,Computer Architecture and Robotics,IT,2,2,1,lab
IT111,Integrative Programming and Technologies 1,IT,2,2,1,lab
IT112,Mobile Applications,IT,2,2,1,lab
IT113,Information Assurance and Security 1,IT,2,3,0,non-lab
IT114,Quantitative Methods (Modeling and Simulation),IT,3,2,1,lab
IT115,Networking 1,IT,3,2,1,lab
IT116,Systems Analysis and Design,IT,3,2,1,lab
IT117,Systems Administration and Maintenance,IT,3,2,1,lab
IT118,Internet of Things,IT,3,3,0,non-lab
IT119,Data Scalability and Analytics,IT,3,3,0,non-lab
IT120,Networking 2,IT,3,2,1,lab
IT121,Capstone Project and Research 1,IT,3,2,1,lab
IT122,Systems Integration and Architecture,IT,3,3,0,non-lab
IT123,Information Assurance and Security 2,IT,3,3,0,non-lab
IT139,Introduction to Artificial Intelligence,IT,3,3,0,non-lab
IT135,Game Programming,IT,3,2,1,lab
IT124,Social and Professional Issues in Computing,IT,4,3,0,non-lab
IT125,Capstone Project and Research 2,IT,4,2,1,lab
IT126,Cyber Security Principle,IT,4,3,0,non-lab
IT127,Global Professional Practice,IT,4,3,0,non-lab
IT136,Enterprise Application Architecture,IT,4,2,1,lab
IT137,Seminars on IT Trends,IT,4,3,0,non-lab
IT138,Computer Graphics and Animation,IT,4,2,1,lab
IT140,Data Mining,IT,4,3,0,non-lab
GEC 1,Understanding the Self,IT,1,3,0,non-lab
GEC 2,Readings in Philippine History,IT,1,3,0,non-lab
GEC 3,Mathematics in the Modern World,IT,1,3,0,non-lab
GEC 4,Purposive Communication,IT,1,3,0,non-lab
GEC 5,Art Appreciation,IT,1,3,0,non-lab
GEC 6,"Science, Technology and Society",IT,2,3,0,non-lab
GEC 7,Contemporary World,IT,2,3,0,non-lab
GEC 9,Ang Buhay at mga Akda ni Rizal,IT,3,3,0,non-lab
GE Elec 1,Environmental Science,IT,1,3,0,non-lab
GE Elec 2,Etika,IT,2,3,0,non-lab
GE Elec 3,The Entrepreneurial Mind,IT,2,3,0,non-lab
GE Elec 4,Reading Visual Art,IT,2,3,0,non-lab
PathFit 1,Movement of Competency Training,IT,1,2,0,non-lab
PathFit 2,Exercise-based Fitness Activities,IT,1,2,0,non-lab
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,2,0,non-lab
PathFit 4,"Menu of Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,2,0,non-lab
