code,name,program,year,lec_hours,lab_hours,room_category
GEC 1,Understanding the Self,IT,1,3,0,non-lab
GEC 2,Readings in Philippine History,IT,1,3,0,non-lab
GEC 3,Mathematics in the Modern World,IT,1,3,0,non-lab
GEC 4,Purposive Communication,IT,1,3,0,non-lab
GEC 5,Art Appreciation,IT,1,3,0,non-lab
GEC 6,"Science, Technology and Society",IT,2,3,0,non-lab
GEC 7,Contemporary World,IT,2,3,0,non-lab
GEC 9,Ang Buhay at mga Akda ni Rizal,IT,3,3,0,non-lab
GE Elec 1,Environmental Science,IT,1,3,0,non-lab
GE Elec 2,Etika,IT,2,3,0,non-lab
GE Elec 3,The Entrepreneurial Mind,IT,2,3,0,non-lab
GE Elec 4,Reading Visual Art,IT,2,3,0,non-lab
PathFit 1,Movement of Competency Training,IT,1,2,0,non-lab
PathFit 2,Exercise-based Fitness Activities,IT,1,2,0,non-lab
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,2,0,non-lab
PathFit 4,"Menu of Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",IT,2,2,0,non-lab
