Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 100,Introduction to Computing,09:00-11:00,M,NB-103,2,0,2,2,,,IT-1A
IT 101,Computer Programming 1,08:00-10:00,W,NB-102,2,0,2,2,,,IT-1A
GEC 1,Understanding the Self,11:00-12:00,M,EB-L1,3,0,3,3,,,IT-1A
GEC 1,Understanding the Self,11:00-12:00,W,NB-303,3,0,3,3,,,IT-1A
GEC 1,Understanding the Self,16:00-17:00,F,AB-201,3,0,3,3,,,IT-1A
GEC 2,Readings in Philippine History,13:00-14:00,M,AB-101,3,0,3,3,,,IT-1A
GEC 2,Readings in Philippine History,15:00-16:00,M,LIB-CL,3,0,3,3,,,IT-1A
GEC 2,Readings in Philippine History,14:00-15:00,W,AB-101,3,0,3,3,,,IT-1A
GEC 3,Mathematics in the Modern World,11:00-12:00,F,NB-302,3,0,3,3,,,IT-1A
GEC 3,Mathematics in the Modern World,08:00-09:00,F,NB-301,3,0,3,3,,,IT-1A
GEC 3,Mathematics in the Modern World,08:00-09:00,M,NB-303,3,0,3,3,,,IT-1A
PathFit 1,Movement of Competency Training,09:00-11:00,TH,AB-102,2,0,2,2,,,IT-1A
IT 100,Introduction to Computing,13:00-15:00,TH,OB-L3,2,0,2,2,,,IT-1B
IT 101,Computer Programming 1,13:00-15:00,F,OB-L3,2,0,2,2,,,IT-1B
GEC 1,Understanding the Self,11:00-12:00,M,NB-302,3,0,3,3,,,IT-1B
GEC 1,Understanding the Self,09:00-10:00,M,AB-101,3,0,3,3,,,IT-1B
GEC 1,Understanding the Self,09:00-10:00,W,AB-102,3,0,3,3,,,IT-1B
GEC 2,Readings in Philippine History,15:00-16:00,M,NB-301,3,0,3,3,,,IT-1B
GEC 2,Readings in Philippine History,16:00-17:00,F,AB-102,3,0,3,3,,,IT-1B
GEC 2,Readings in Philippine History,10:00-11:00,F,EB-L1,3,0,3,3,,,IT-1B
GEC 3,Mathematics in the Modern World,09:00-10:00,F,LIB-CL,3,0,3,3,,,IT-1B
GEC 3,Mathematics in the Modern World,15:00-16:00,F,AB-102,3,0,3,3,,,IT-1B
GEC 3,Mathematics in the Modern World,10:00-11:00,W,EB-L1,3,0,3,3,,,IT-1B
PathFit 1,Movement of Competency Training,14:00-16:00,T,AB-201,2,0,2,2,,,IT-1B
IT 100,Introduction to Computing,14:00-16:00,F,OB-L1,2,0,2,2,,,IT-1C
IT 101,Computer Programming 1,08:00-10:00,TH,OB-L2,2,0,2,2,,,IT-1C
GEC 1,Understanding the Self,10:00-11:00,M,AB-102,3,0,3,3,,,IT-1C
GEC 1,Understanding the Self,15:00-16:00,W,AB-201,3,0,3,3,,,IT-1C
GEC 1,Understanding the Self,13:00-14:00,M,EB-L1,3,0,3,3,,,IT-1C
GEC 2,Readings in Philippine History,10:00-11:00,F,LIB-CL,3,0,3,3,,,IT-1C
GEC 2,Readings in Philippine History,16:00-17:00,M,AB-102,3,0,3,3,,,IT-1C
GEC 2,Readings in Philippine History,09:00-10:00,F,NB-302,3,0,3,3,,,IT-1C
GEC 3,Mathematics in the Modern World,09:00-10:00,M,LIB-CL,3,0,3,3,,,IT-1C
GEC 3,Mathematics in the Modern World,11:00-12:00,M,AB-101,3,0,3,3,,,IT-1C
GEC 3,Mathematics in the Modern World,14:00-15:00,W,NB-301,3,0,3,3,,,IT-1C
PathFit 1,Movement of Competency Training,15:00-17:00,T,LIB-CL,2,0,2,2,,,IT-1C
IT 105,Applications Development and Emerging Technologies,08:00-10:00,TH,NB-203,2,0,2,2,,,IT-2A
IT 106,Information Management,10:00-11:00,M,NB-301,3,0,3,3,,,IT-2A
IT 106,Information Management,14:00-15:00,F,EB-L1,3,0,3,3,,,IT-2A
IT 106,Information Management,15:00-16:00,F,EB-L1,3,0,3,3,,,IT-2A
IT 107,Introduction to Human Computer Interaction,13:00-15:00,TH,OB-L2,2,0,2,2,,,IT-2A
IT 108,Operating Systems,14:00-16:00,T,NB-202,2,0,2,2,,,IT-2A
GEC 6,"Science, Technology and Society",11:00-12:00,F,NB-301,3,0,3,3,,,IT-2A
GEC 6,"Science, Technology and Society",13:00-14:00,M,NB-303,3,0,3,3,,,IT-2A
GEC 6,"Science, Technology and Society",15:00-16:00,M,AB-102,3,0,3,3,,,IT-2A
GE Elec 2,Etika,08:00-09:00,W,NB-303,3,0,3,3,,,IT-2A
GE Elec 2,Etika,13:00-14:00,W,AB-102,3,0,3,3,,,IT-2A
GE Elec 2,Etika,13:00-14:00,F,AB-201,3,0,3,3,,,IT-2A
GE Elec 3,The Entrepreneurial Mind,10:00-11:00,W,AB-201,3,0,3,3,,,IT-2A
GE Elec 3,The Entrepreneurial Mind,16:00-17:00,F,NB-301,3,0,3,3,,,IT-2A
GE Elec 3,The Entrepreneurial Mind,14:00-15:00,W,NB-302,3,0,3,3,,,IT-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",10:00-12:00,TH,LIB-CL,2,0,2,2,,,IT-2A
IT 105,Applications Development and Emerging Technologies,13:00-15:00,F,NB-203,2,0,2,2,,,IT-2B
IT 106,Information Management,10:00-11:00,M,LIB-CL,3,0,3,3,,,IT-2B
IT 106,Information Management,09:00-10:00,W,AB-201,3,0,3,3,,,IT-2B
IT 106,Information Management,14:00-15:00,M,AB-102,3,0,3,3,,,IT-2B
