Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GEC 1,Understanding the Self,09:30-11:00,TTh,AB-201 (Non-lab),3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,14:30-16:00,TTh,EB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,14:30-16:00,TTh,OB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-1A
IT 100 (Lab),Introduction to Computing (Lab),13:00-14:30,TTh,NB-101 (Lab),0,1,1,3,2.25,TBA,IT-1A
IT 101,Computer Programming 1,09:00-10:00,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-1A
IT 101 (Lab),Computer Programming 1 (Lab),13:00-14:30,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-1A
PathFit 1,Movement of Competency Training,08:00-10:00,F,NB-302 (Non-lab),2,0,2,2,2.0,TBA,IT-1A
GEC 1,Understanding the Self,14:30-16:00,TTh,AB-101 (Non-lab),3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,09:30-11:00,TTh,AB-102 (Non-lab),3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,13:00-14:30,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-1B
IT 100,Introduction to Computing,08:00-09:30,TTh,OB-L1 (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 100 (Lab),Introduction to Computing (Lab),08:00-09:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-1B
IT 101,Computer Programming 1,16:00-17:00,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 101 (Lab),Computer Programming 1 (Lab),14:30-16:00,TTh,NB-103 (Lab),0,1,1,3,2.25,TBA,IT-1B
PathFit 1,Movement of Competency Training,09:00-11:00,F,AB-102 (Non-lab),2,0,2,2,2.0,TBA,IT-1B
