Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GEC 9,Ang Buhay at mga Akda ni Rizal,08:00-09:30,TTh,OB-L2 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
IT 114,Quantitative Methods (Modeling and Simulation),09:30-11:00,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 114 (Lab),Quantitative Methods (Modeling and Simulation) (Lab),13:00-14:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 115,Networking 1,16:00-17:00,TTh,OB-L2 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 115 (Lab),Networking 1 (Lab),14:30-16:00,TTh,NB-103 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 116,Systems Analysis and Design,16:00-17:00,TTh,AB-101 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 116 (Lab),Systems Analysis and Design (Lab),13:00-14:30,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 117,Systems Administration and Maintenance,11:00-12:00,TTh,NB-303 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 117 (Lab),Systems Administration and Maintenance (Lab),08:00-09:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 118,Internet of Things,09:30-11:00,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,14:30-16:00,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
