Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GEC 1,Understanding the Self,"13:00-14:30
13:00-14:30",THF,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,"08:00-09:30
08:00-09:30",TF,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,"14:30-16:00
14:30-16:00",THF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA,IT-1A
IT 100,Introduction to Computing,15:00-17:00,W,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-1A
IT 100,Introduction to Computing,"14:30-16:00
14:30-16:00",MT,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA,IT-1A
IT 101,Computer Programming 1,13:00-15:00,W,LEC-003 (Non-lab),2,1,3,5,4.25,TBA,IT-1A
IT 101,Computer Programming 1,"09:30-11:00
09:30-11:00",TF,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA,IT-1A
PathFit 1,Movement of Competency Training,10:00-12:00,TH,LEC-001 (Non-lab),2,0,2,2,2.0,TBA,IT-1A
GEC 1,Understanding the Self,"09:30-11:00
09:30-11:00",WTH,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,"13:00-14:30
13:00-14:30",TF,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,"14:30-16:00
14:30-16:00",MTH,"LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
IT 100,Introduction to Computing,10:00-12:00,F,LEC-001 (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 100,Introduction to Computing,"13:00-14:30
13:00-14:30",MTH,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-1B
IT 101,Computer Programming 1,13:00-15:00,W,LEC-007 (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 101,Computer Programming 1,"08:00-09:30
08:00-09:30",WF,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-1B
PathFit 1,Movement of Competency Training,15:00-17:00,W,LEC-007 (Non-lab),2,0,2,2,2.0,TBA,IT-1B
GEC 1,Understanding the Self,"13:00-14:30
13:00-14:30",TW,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA,IT-1C
GEC 2,Readings in Philippine History,"13:00-14:30
13:00-14:30",MTH,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA,IT-1C
GEC 3,Mathematics in the Modern World,"08:00-09:30
08:00-09:30",MF,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA,IT-1C
IT 100,Introduction to Computing,15:00-17:00,W,LEC-001 (Non-lab),2,1,3,5,4.25,TBA,IT-1C
IT 100,Introduction to Computing,"08:00-09:30
08:00-09:30",TTH,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-1C
IT 101,Computer Programming 1,15:00-17:00,M,LEC-004 (Non-lab),2,1,3,5,4.25,TBA,IT-1C
IT 101,Computer Programming 1,"09:30-11:00
09:30-11:00",THF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-1C
PathFit 1,Movement of Competency Training,15:00-17:00,TH,LEC-007 (Non-lab),2,0,2,2,2.0,TBA,IT-1C
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",MW,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
GE Elec 3,The Entrepreneurial Mind,"09:30-11:00
09:30-11:00",TTH,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
GEC 6,"Science, Technology and Society","08:00-09:30
08:00-09:30",TTH,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
IT 105,Applications Development and Emerging Technologies,15:00-17:00,M,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",WTH,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA,IT-2A
IT 106,Information Management,"13:00-14:30
13:00-14:30",MF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,"11:00-12:00
11:00-12:00",TW,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",2,1,3,5,4.25,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,"14:30-16:00
14:30-16:00",TF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,08:00-10:00,F,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,"08:00-09:30
08:00-09:30",MW,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",10:00-12:00,F,LEC-011 (Non-lab),2,0,2,2,2.0,TBA,IT-2A
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",MT,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,"08:00-09:30
08:00-09:30",MT,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society","13:00-14:30
13:00-14:30",TW,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,10:00-12:00,F,LEC-006 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",WTH,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 106,Information Management,"09:30-11:00
09:30-11:00",WTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,15:00-17:00,T,LEC-002 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,"08:00-09:30
08:00-09:30",WF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,15:00-17:00,F,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
