Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",MW,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
GE Elec 3,The Entrepreneurial Mind,"09:30-11:00
09:30-11:00",TTH,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
GEC 6,"Science, Technology and Society","08:00-09:30
08:00-09:30",TTH,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
IT 105,Applications Development and Emerging Technologies,15:00-17:00,M,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",WTH,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA,IT-2A
IT 106,Information Management,"13:00-14:30
13:00-14:30",MF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,"11:00-12:00
11:00-12:00",TW,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",2,1,3,5,4.25,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,"14:30-16:00
14:30-16:00",TF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,08:00-10:00,F,LEC-005 (Non-lab),2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,"08:00-09:30
08:00-09:30",MW,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",10:00-12:00,F,LEC-011 (Non-lab),2,0,2,2,2.0,TBA,IT-2A
