Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",MT,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,"08:00-09:30
08:00-09:30",MT,"LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society","13:00-14:30
13:00-14:30",TW,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,10:00-12:00,F,LEC-006 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",WTH,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 106,Information Management,"09:30-11:00
09:30-11:00",WTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,15:00-17:00,T,LEC-002 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,"08:00-09:30
08:00-09:30",WF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,15:00-17:00,F,LEC-010 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 108,Operating Systems,"13:00-14:30
13:00-14:30",MF,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",15:00-17:00,M,LEC-005 (Non-lab),2,0,2,2,2.0,TBA,IT-2B
