room_id,building,floor,capacity,room_type,equipment,room_category
NB-101,New,1,50,networking,"networking, cisco routers, switches",lab
NB-102,New,1,45,systems,"security, systems, server virtualization",lab
NB-103,New,1,40,mobile_dev,"mobile/app dev, web dev, android studio, ios simulators",lab
NB-201,New,2,50,programming,"programming, database, IDEs, compilers",lab
NB-202,New,2,45,programming,"programming, database, IDEs, compilers",lab
NB-203,New,2,40,general,"general, database, web dev, mobile app support",lab
NB-301,New,3,50,general,"general, database, web dev, mobile app support",non-lab
NB-302,New,3,45,general,"general, database, web dev, mobile app support",non-lab
NB-303,New,3,40,programming,"programming, database, IDEs, compilers",non-lab
OB-L1,Old,1,40,programming,"programming, database, standard PCs",non-lab
OB-L2,Old,1,40,programming,"programming, database, standard PCs",non-lab
OB-L3,Old,1,40,general,"general, database, web dev, mobile app support",non-lab
AB-101,Admin,1,45,general,"general, database, web dev, mobile app support",non-lab
AB-102,Admin,1,40,programming,"programming, database, standard PCs",non-lab
AB-201,Admin,2,50,programming,"programming, database, IDEs",non-lab
EB-L1,Engineering,1,40,programming,"programming, database, engineering software",non-lab
LIB-CL,Library,2,40,general,"general, database, web dev, mobile app support",non-lab
