Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
IS 401,IS Project 2,"11:00-12:00
11:00-12:00",TTH,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",2,1,3,5,4.25,TBA
IS 401,IS Project 2,"13:00-14:30
13:00-14:30",TTH,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA
IS 402,IS Implementation and Maintenance,"08:00-09:30
08:00-09:30",TW,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA
IS 403,Social and Professional Issues in IS,"14:30-16:00
14:30-16:00",TTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA
ISELECT 004,IS Elective 4 (Management),"16:00-17:00
16:00-17:00",TTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",2,1,3,5,4.25,TBA
ISELECT 004,IS Elective 4 (Management),"08:00-09:30
08:00-09:30",THF,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 124,Social and Professional Issues in Computing,"09:30-11:00
09:30-11:00",THF,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA
IT 125,Capstone Project and Research 2,13:00-15:00,F,LEC-011 (Non-lab),2,1,3,5,4.25,TBA
IT 125,Capstone Project and Research 2,"13:00-14:30
13:00-14:30",MW,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA
IT 126,Cyber Security Principle,"11:00-12:00
11:00-12:00
11:00-12:00",MWF,"LEC-004 (Non-lab)
LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA
IT 127,Global Professional Practice,"15:00-16:00
15:00-16:00
15:00-16:00",MWF,"LEC-008 (Non-lab)
LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA
ITELECT 003,IT Elective 3*,08:00-10:00,M,LEC-007 (Non-lab),2,1,3,5,4.25,TBA
ITELECT 003,IT Elective 3*,"09:30-11:00
09:30-11:00",TW,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA
ITELECT 004,IT Elective 4*,"16:00-17:00
16:00-17:00
16:00-17:00",MWF,"LEC-006 (Non-lab)
LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA
