Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
IS 401,IS Project 2,"10:00-11:00
10:00-11:00",MW,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",2,1,3,5,4.25,TBA
IS 401,IS Project 2,"14:30-16:00
14:30-16:00",MT,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA
IS 402,IS Implementation and Maintenance,"16:00-17:00
16:00-17:00
16:00-17:00",MWF,"LEC-002 (Non-lab)
LEC-002 (Non-lab)
LEC-002 (Non-lab)",3,0,3,3,3.0,TBA
IS 403,Social and Professional Issues in IS,"14:30-16:00
14:30-16:00",WF,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA
ISELECT 004,IS Elective 4 (Management),13:00-15:00,TH,LEC-006 (Non-lab),2,1,3,5,4.25,TBA
ISELECT 004,IS Elective 4 (Management),"08:00-09:30
08:00-09:30",TTH,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA
IT 124,Social and Professional Issues in Computing,"11:00-12:00
11:00-12:00
11:00-12:00",MWF,"LEC-006 (Non-lab)
LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA
IT 125,Capstone Project and Research 2,15:00-17:00,TH,LEC-004 (Non-lab),2,1,3,5,4.25,TBA
IT 125,Capstone Project and Research 2,"13:00-14:30
13:00-14:30",MW,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 126,Cyber Security Principle,"08:00-09:00
08:00-09:00
08:00-09:00",MWF,"LEC-010 (Non-lab)
LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA
IT 127,Global Professional Practice,"13:00-14:30
13:00-14:30",TF,"LEC-001 (Non-lab)
LEC-001 (Non-lab)",3,0,3,3,3.0,TBA
ITELECT 003,IT Elective 3*,"11:00-12:00
11:00-12:00",TTH,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",2,1,3,5,4.25,TBA
ITELECT 003,IT Elective 3*,"09:30-11:00
09:30-11:00",TTH,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA
ITELECT 004,IT Elective 4*,"09:00-10:00
09:00-10:00
09:00-10:00",MWF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA
