Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GE Elec 2,Etika,"09:30-11:00
09:30-11:00",MTH,"LEC-008 (Non-lab)
LEC-008 (Non-lab)",3,0,3,3,3.0,TBA
GE Elec 3,The Entrepreneurial Mind,"08:00-09:30
08:00-09:30",TTH,"LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA
GEC 6,"Science, Technology and Society","09:30-11:00
09:30-11:00",WF,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA
IT 105,Applications Development and Emerging Technologies,11:00-14:00,T,LEC-005 (Non-lab),2,1,3,5,4.25,TBA
IT 105,Applications Development and Emerging Technologies,"13:00-14:30
13:00-14:30",MTH,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 106,Information Management,"08:00-09:30
08:00-09:30",MF,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA
IT 107,Introduction to Human Computer Interaction,15:00-17:00,TH,LEC-008 (Non-lab),2,1,3,5,4.25,TBA
IT 107,Introduction to Human Computer Interaction,"14:30-16:00
14:30-16:00",TW,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA
IT 108,Operating Systems,15:00-17:00,M,LEC-010 (Non-lab),2,1,3,5,4.25,TBA
IT 108,Operating Systems,"13:00-14:30
13:00-14:30",WF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",15:00-17:00,F,LEC-001 (Non-lab),2,0,2,2,2.0,TBA
