Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GE Elec 2,Etika,"14:30-16:00
14:30-16:00",WF,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA
GE Elec 3,The Entrepreneurial Mind,"09:30-11:00
09:30-11:00",TF,"LEC-011 (Non-lab)
LEC-011 (Non-lab)",3,0,3,3,3.0,TBA
GEC 6,"Science, Technology and Society","13:00-14:30
13:00-14:30",MW,"LEC-006 (Non-lab)
LEC-006 (Non-lab)",3,0,3,3,3.0,TBA
IT 105,Applications Development and Emerging Technologies,11:00-14:00,F,LEC-003 (Non-lab),2,1,3,5,4.25,TBA
IT 105,Applications Development and Emerging Technologies,"14:30-16:00
14:30-16:00",TTH,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 106,Information Management,"08:00-09:30
08:00-09:30",WTH,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA
IT 107,Introduction to Human Computer Interaction,10:00-12:00,W,LEC-005 (Non-lab),2,1,3,5,4.25,TBA
IT 107,Introduction to Human Computer Interaction,"08:00-09:30
08:00-09:30",TF,"LAB-006 (Lab)
LAB-006 (Lab)",2,1,3,5,4.25,TBA
IT 108,Operating Systems,11:00-14:00,T,LEC-008 (Non-lab),2,1,3,5,4.25,TBA
IT 108,Operating Systems,"09:30-11:00
09:30-11:00",MTH,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",15:00-17:00,M,LEC-005 (Non-lab),2,0,2,2,2.0,TBA
