Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 9,Ang Buhay at mga Akda ni Rizal,"14:00-15:30
13:00-14:30",MW,"NB-301
LIB-CL",3,0,3,3,3.0,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"16:00-17:00
08:00-09:00",TTH,"NB-102
NB-203",2,1,3,5,4.25,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"09:30-11:00
14:30-16:00",MW,"NB-203
NB-101",2,1,3,5,4.25,TBA
IT 115,Networking 1,"13:30-14:30
10:30-11:30",TTH,"NB-201
NB-201",2,1,3,5,4.25,TBA
IT 115,Networking 1,"14:30-16:00
11:30-14:00",TTH,"NB-203
NB-101",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"13:00-14:00
11:00-12:00
11:30-13:30",MWF,"NB-103
NB-101
NB-202",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"11:00-13:30
14:00-15:30",TTH,"NB-103
NB-103",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"08:00-09:00
16:00-17:00
13:30-14:30",MWF,"NB-103
NB-101
NB-203",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"09:30-11:00
15:30-17:00",TTH,"NB-201
NB-102",2,1,3,5,4.25,TBA
IT 118,Internet of Things,"15:30-17:00
08:00-09:30",MW,"NB-301
AB-102",3,0,3,3,3.0,TBA
IT 119,Data Scalability and Analytics,"08:00-09:30
09:00-10:30",TTH,"AB-101
NB-303",3,0,3,3,3.0,TBA
